Date,SPY,,,TA35.TA,,,IEI,,,LQD,,,,,,
5/27/2022,-0.011337768,0.47,0.1,0.005865267,0.21,0.06,-0.003527569,0.19,0.75,-0.059215579,0.11,0.2,-0.011280997,937.0815424,953.2938859,-0.015270654
5/28/2022,0.002067131,0.47,0.1,-0.005337956,0.21,0.06,-0.000584102,0.19,0.75,0.039359586,0.11,0.2,0.004069156,940.8946734,960.2722608,0.007320277
5/29/2022,-0.003075108,0.47,0.1,0.01507738,0.21,0.06,0.002946666,0.19,0.75,0.009993303,0.11,0.2,0.003380079,944.0749718,964.8871297,0.004805792
5/30/2022,0.025239267,0.47,0.1,0.025487062,0.21,0.06,0.000456708,0.19,0.75,0.022733297,0.11,0.2,0.019802176,962.7697105,973.5154796,0.008942341
5/31/2022,0.008043471,0.47,0.1,-0.017190548,0.21,0.06,-0.000515516,0.19,0.75,-0.004280963,0.11,0.2,-0.000398438,962.3861068,972.084494,-0.001469916
6/1/2022,-0.005804955,0.47,0.1,0.010816639,0.21,0.06,0.000158015,0.19,0.75,0.01164462,0.11,0.2,0.000854097,963.2080778,974.5301989,0.002515939
6/2/2022,0.022117585,0.47,0.1,-0.015120984,0.21,0.06,-0.001530559,0.19,0.75,-0.043028622,0.11,0.2,0.002195904,965.32319,966.2962527,-0.008449144
6/3/2022,-0.004328285,0.47,0.1,-0.010159553,0.21,0.06,0.004797725,0.19,0.75,0.035251077,0.11,0.2,0.000621386,965.9230284,975.5785981,0.009606107
6/4/2022,-0.023430173,0.47,0.1,0.041469519,0.21,0.06,0.000202063,0.19,0.75,-0.006346067,0.11,0.2,-0.002963258,963.0607495,974.6298359,-0.000972512
6/5/2022,-0.003888626,0.47,0.1,-0.015143212,0.21,0.06,0.00176545,0.19,0.75,0.014104653,0.11,0.2,-0.003120781,960.0552474,977.4051557,0.002847563
6/6/2022,0.043583317,0.47,0.1,-0.000527412,0.21,0.06,-0.002403724,0.19,0.75,-0.008943139,0.11,0.2,0.01893295,978.2319249,978.1238086,0.000735266
6/7/2022,0.01263247,0.47,0.1,-0.003690036,0.21,0.06,0.00439849,0.19,0.75,0.01469349,0.11,0.2,0.00761435,985.6805254,985.2439731,0.00727941
6/8/2022,-0.004125761,0.47,0.1,0.016747521,0.21,0.06,-0.001320796,0.19,0.75,-0.006842254,0.11,0.2,0.000574273,986.2465747,983.5032711,-0.001766773
6/9/2022,-0.005887296,0.47,0.1,-0.036815377,0.21,0.06,0.001580654,0.19,0.75,0.004180294,0.11,0.2,-0.009738102,976.6424051,982.7399713,-0.000776103
